ID,Text,Label,Parent_Text,Hashtags,Language_Script,Sentiment
1,Ye Modi aur uske chamche desh ko barbad kar rahe hain. Inko jail mein daalo!,hate,N/A,#politics,Mixed,Negative
2,"Kal ki movie bohot achi thi, acting aur story dono lajawab!",non-hate,N/A,#movies,Mixed,Positive
3,Aaj ka weather kaisa hai? Bahar jane ka mood nahi hai.,non-hate,N/A,#daily life,Mixed,Neutral
4,Tum jaise logon ki wajah se hi desh ka bera gark ho raha hai. Chup karo!,hate,I think the new policy is good for the economy.,#politics,Mixed,Negative
5,Tumhara dimaag kharab hai kya? Itna ganda comment mat karo.,hate,N/A,#social media,Romanized,Negative
6,"I totally agree with you, great point!",non-hate,The government should focus more on education.,#education,English,Positive
7,"Ye Muslims desh ke liye khatra hain, inko bahar nikal do.",hate,N/A,#religion,Mixed,Negative
8,Mujhe lagta hai ki sabko equal rights milne chahiye.,non-hate,N/A,#equality,Mixed,Positive
9,"Kal office jaana hai, bahut kaam pending hai.",non-hate,N/A,#work,Mixed,Neutral
10,"Ye feminists sirf dikkat karte hain, kuch kaam nahi karte.",hate,N/A,#gender,Mixed,Negative
11,"Mujhe ye song bohot pasand hai, lyrics aur music dono awesome hain.",non-hate,N/A,#music,Mixed,Positive
12,"Ye cricketer to bilkul bekar hai, team se nikal do isko.",hate,N/A,#sports,Mixed,Negative
13,"Aaj khana banaane ka mood nahi, order karte hain.",non-hate,N/A,#food,Mixed,Neutral
14,Tum jaise logon ko social media pe ban kar dena chahiye.,hate,I don't like this new feature update.,#technology,Mixed,Negative
15,"This new phone is amazing, camera quality is top-notch!",non-hate,N/A,#technology,English,Positive
16,"Ye caste system ko khatam karna chahiye, bahut injustice hai.",non-hate,N/A,#social issues,Mixed,Negative
17,Tumhare jaise log hi society ko toxic banate ho.,hate,Men and women should have equal opportunities.,#gender,Mixed,Negative
18,Kal ka match dekh liya? India ne zabardast khela!,non-hate,N/A,#sports,Mixed,Positive
19,"Ye politicians sirf vote ke liye kaam karte hain, desh ka kuch nahi sochte.",hate,N/A,#politics,Mixed,Negative
20,"Mujhe ye naya web series bohot pasand aaya, binge-watch kar liya!",non-hate,N/A,#entertainment,Mixed,Positive
21,"Tumhara opinion bilkul galat hai, research karo pehle.",hate,Climate change is a serious issue.,#environment,Mixed,Negative
22,"Aaj subah se headache ho raha hai, koi remedy suggest karo.",non-hate,N/A,#health,Mixed,Neutral
23,"Ye foreigners India ko badnaam karte hain, inko deport karo.",hate,N/A,#nationalism,Mixed,Negative
24,I think we should respect all religions equally.,non-hate,N/A,#religion,English,Positive
25,"Kal se gym start kar raha hoon, fit rehna zaroori hai.",non-hate,N/A,#fitness,Mixed,Positive
26,Tum jaise logon ki wajah se hi women unsafe feel karti hain.,hate,We need stricter laws for women's safety.,#gender,Mixed,Negative
27,Ye naya restaurant try kiya? Food quality amazing hai!,non-hate,N/A,#food,Mixed,Positive
28,Tumhare jaise influencers sirf paise ke liye kuch bhi karte ho.,hate,N/A,#social media,Mixed,Negative
29,"Aaj ka din bohot productive raha, kaam khatam kar liya.",non-hate,N/A,#work,Mixed,Positive
30,"Ye Chinese apps ko ban karna chahiye, data chori karte hain.",hate,N/A,#technology,Mixed,Negative
31,Mujhe lagta hai ki education system mein reforms ki zaroorat hai.,non-hate,N/A,#education,Mixed,Neutral
32,Tumhare jaise log hi corruption ko badhava dete ho.,hate,I believe in transparent governance.,#politics,Mixed,Negative
33,"Kal ki party mein bohot maza aaya, friends ke saath time spend kiya.",non-hate,N/A,#social life,Mixed,Positive
34,Ye Bollywood walon ne industry ko nepotism ka adda bana diya hai.,hate,N/A,#entertainment,Mixed,Negative
35,I think yoga is great for mental and physical health.,non-hate,N/A,#health,English,Positive
36,Tum jaise logon ko politics mein aane ka koi haq nahi.,hate,Everyone has the right to participate in democracy.,#politics,Mixed,Negative
37,"Aaj ka traffic unbearable tha, late ho gaya office ke liye.",non-hate,N/A,#daily life,Mixed,Negative
38,"Ye LGBTQ community walon ko zyada rights mat do, society kharab ho jayegi.",hate,N/A,#social issues,Mixed,Negative
39,"Mujhe ye naya laptop bohot pasand aaya, performance excellent hai.",non-hate,N/A,#technology,Mixed,Positive
40,Tumhare jaise log hi fake news failate ho.,hate,We need to fact-check information before sharing.,#social media,Mixed,Negative
41,"Kal se diet start kar raha hoon, healthy living is important.",non-hate,N/A,#health,Mixed,Positive
42,"Ye reservation system ko khatam karo, merit pe focus karo.",hate,N/A,#social issues,Mixed,Negative
43,"I love how this app makes life easier, great user interface!",non-hate,N/A,#technology,English,Positive
44,Tum jaise logon ki wajah se hi desh piche ja raha hai.,hate,India is progressing rapidly in many sectors.,#nationalism,Mixed,Negative
45,Aaj ka weather perfect hai picnic ke liye.,non-hate,N/A,#daily life,Mixed,Positive
46,Ye celebrities sirf attention ke liye drama karte hain.,hate,N/A,#entertainment,Mixed,Negative
47,Mujhe lagta hai ki renewable energy future hai.,non-hate,N/A,#environment,Mixed,Positive
48,Tumhare jaise log hi sports ko politics se jodte ho.,hate,Sports should be about talent and hard work.,#sports,Mixed,Negative
49,"Kal ka exam tough tha, but I think I did well.",non-hate,N/A,#education,Mixed,Neutral
50,"Ye immigrants ko desh se bahar karo, jobs churate hain.",hate,N/A,#nationalism,Mixed,Negative
51,"Ye neta log sirf vote ke liye drama karte hain, kaam zero.",hate,N/A,#politics,Mixed,Negative
52,Mujhe lagta hai ki new metro project city ko transform karega.,non-hate,N/A,#politics,Mixed,Positive
53,"Ye heroine ka acting wooden hai, talent naam ka nahi.",hate,N/A,#movies,Mixed,Negative
54,"Kal ka song release bohot catchy tha, playlist mein add kar diya.",non-hate,N/A,#music,Mixed,Positive
55,Aaj ka traffic ne sara mood kharab kar diya.,non-hate,N/A,#daily life,Mixed,Negative
56,Mujhe ye street food stall ka taste unbeatable lagta hai.,non-hate,N/A,#food,Mixed,Positive
57,Tum jaise log hi women empowerment ko rok rahe ho.,hate,Women deserve equal rights.,#gender,Mixed,Negative
58,I think interfaith marriages should be respected.,non-hate,N/A,#religion,English,Positive
59,Ye company ka latest phone overpriced aur useless hai.,hate,N/A,#technology,Mixed,Negative
60,Mujhe ye app ka interface bohot smooth lagta hai.,non-hate,N/A,#technology,Mixed,Positive
61,"Ye player match haarne ka expert hai, team se nikal do.",hate,N/A,#sports,Mixed,Negative
62,"Aaj ka game nail-biting tha, end tak excitement raha.",non-hate,N/A,#sports,Mixed,Positive
63,Tumhare jaise log hi junk food ko glorify karte ho.,hate,Healthy eating is important.,#health,Mixed,Negative
64,Morning walks ne meri energy levels badha di hain.,non-hate,N/A,#health,Mixed,Positive
65,"Ye teachers bas syllabus complete karte hain, samajhate nahi.",hate,N/A,#education,Mixed,Negative
66,Online courses ne learning ko flexible bana diya hai.,non-hate,N/A,#education,Mixed,Positive
67,Ye log plastic use karte hain aur environment ka lecture dete hain.,hate,N/A,#environment,Mixed,Negative
68,"Solar energy future hai, ispe invest karna chahiye.",non-hate,N/A,#environment,Mixed,Positive
69,Tum jaise log desh ka naam badnaam karte ho.,hate,Proud to be Indian.,#nationalism,Mixed,Negative
70,India ka diversity hi iski strength hai.,non-hate,N/A,#nationalism,Mixed,Positive
